MemberID,Sex,YearJoined,year,Status,Age,fitness,racquets,dock,city_dining,island_dining,bar_spending,other_spending
316,M,1983,2017,ACTIVE,69,N,Y,Y,137,1082,2179,1220
316,M,1983,2020,ACTIVE,72,Y,Y,NA,NA,NA,NA,NA
526,M,1997,2017,ACTIVE,46,Y,Y,Y,829,4249,5996,5073
526,M,1997,2020,ACTIVE,49,N,N,NA,NA,NA,NA,NA
3872,M,2002,2017,ACTIVE,42,N,N,N,0,630,0,629
3872,M,2002,2020,ACTIVE,45,N,N,NA,NA,NA,NA,NA
2879,M,2001,2017,ACTIVE,59,Y,N,Y,660,937,962,1597
2879,M,2001,2020,ACTIVE,62,Y,N,NA,NA,NA,NA,NA
335,F,2005,2017,ACTIVE,33,Y,N,N,403,131,0,534
335,F,2005,2020,HOLDOVER,36,N,N,NA,NA,NA,NA,NA
4223,M,2017,2017,ACTIVE,48,Y,Y,N,559,487,78,1045
4223,M,2017,2020,ACTIVE,51,Y,Y,NA,NA,NA,NA,NA
3210,F,1982,2017,ACTIVE,58,N,N,N,44,521,213,564
3210,F,1982,2020,ACTIVE,61,N,N,NA,NA,NA,NA,NA
3336,F,1982,2017,ACTIVE,65,N,N,N,0,348,472,348
3336,F,1982,2020,ACTIVE,68,N,N,NA,NA,NA,NA,NA
2834,M,1977,2017,ACTIVE,84,N,N,N,91,75,659,165
2834,M,1977,2020,ACTIVE,87,N,N,NA,NA,NA,NA,NA
3870,M,1980,2017,ACTIVE,61,Y,N,N,150,83,136,234
3870,M,1980,2020,ACTIVE,64,N,N,NA,NA,NA,NA,NA
523,M,2000,2017,ACTIVE,55,N,N,N,10,310,234,319
523,M,2000,2020,ACTIVE,58,N,N,NA,NA,NA,NA,NA
3251,F,1998,2017,ACTIVE,44,N,N,N,0,34,0,35
3251,F,1998,2020,ACTIVE,47,N,N,NA,NA,NA,NA,NA
10,M,1993,2017,ACTIVE,71,Y,N,Y,0,884,702,885
10,M,1993,2020,ACTIVE,74,Y,N,NA,NA,NA,NA,NA
148,M,1968,2017,ACTIVE,61,N,N,N,17,69,212,87
148,M,1968,2020,HOLDOVER,64,N,N,NA,NA,NA,NA,NA
2936,F,1972,2017,ACTIVE,77,Y,N,Y,273,209,32,481
2936,F,1972,2020,ACTIVE,80,Y,N,NA,NA,NA,NA,NA
1916,M,1986,2017,ACTIVE,82,N,N,N,0,208,148,209
1916,M,1986,2020,ACTIVE,85,N,N,NA,NA,NA,NA,NA
730,F,2016,2017,ACTIVE,22,N,N,N,2,155,557,157
730,F,2016,2020,ACTIVE,25,N,N,NA,NA,NA,NA,NA
3582,M,2020,2017,ACTIVE,51,Y,Y,N,203,215,320,417
3582,M,2020,2020,ACTIVE,54,N,Y,NA,NA,NA,NA,NA
185,M,2002,2017,ACTIVE,51,Y,N,Y,331,1343,224,1674
